station_id,city,charger_type,total_ports,date,sessions,total_kwh_delivered,avg_session_time_mins,revenue_generated,downtime_mins
STN001,Pune,Slow,3,2025-01-01,18,162.05,69.8,6145.27,49
STN001,Pune,Slow,3,2025-01-02,29,278.12,79.2,9169.02,37
STN001,Pune,Slow,3,2025-01-03,19,171.62,74.9,7136.66,27
STN001,Pune,Slow,3,2025-01-04,20,183.67,70.3,7027.21,58
STN001,Pune,Slow,3,2025-01-05,25,297.59,65.9,9251.2,22
STN001,Pune,Slow,3,2025-01-06,26,255.11,76.0,10030.62,26
STN001,Pune,Slow,3,2025-01-07,28,326.66,78.7,9696.26,68
STN001,Pune,Slow,3,2025-01-08,28,256.88,65.2,10993.81,47
STN001,Pune,Slow,3,2025-01-09,17,180.96,73.4,5945.69,36
STN001,Pune,Slow,3,2025-01-10,25,296.27,62.7,7865.0,57
STN001,Pune,Slow,3,2025-01-11,29,276.8,67.4,9263.77,36
STN001,Pune,Slow,3,2025-01-12,23,208.42,78.1,8114.97,67
STN001,Pune,Slow,3,2025-01-13,22,216.37,76.2,8055.55,59
STN001,Pune,Slow,3,2025-01-14,28,252.64,70.3,10319.23,60
STN001,Pune,Slow,3,2025-01-15,26,272.99,60.5,7913.09,32
STN001,Pune,Slow,3,2025-01-16,23,254.47,66.9,7550.9,55
STN001,Pune,Slow,3,2025-01-17,23,244.36,64.1,8577.29,32
STN001,Pune,Slow,3,2025-01-18,16,187.19,76.4,4997.72,43
STN001,Pune,Slow,3,2025-01-19,20,194.68,71.7,6106.75,47
STN001,Pune,Slow,3,2025-01-20,24,286.15,78.2,7513.55,48
STN001,Pune,Slow,3,2025-01-21,22,198.43,60.7,7459.26,23
STN001,Pune,Slow,3,2025-01-22,26,278.8,73.2,9723.81,41
STN001,Pune,Slow,3,2025-01-23,20,182.6,67.2,7804.03,28
STN001,Pune,Slow,3,2025-01-24,26,251.65,61.0,10187.95,61
STN001,Pune,Slow,3,2025-01-25,28,335.93,62.6,11030.83,47
STN001,Pune,Slow,3,2025-01-26,24,287.59,66.1,7876.86,54
STN001,Pune,Slow,3,2025-01-27,22,237.98,77.8,8628.43,68
STN001,Pune,Slow,3,2025-01-28,29,321.95,62.6,11064.36,39
STN001,Pune,Slow,3,2025-01-29,24,245.38,63.1,9176.97,39
STN001,Pune,Slow,3,2025-01-30,21,218.64,73.1,7848.04,24
STN001,Pune,Slow,3,2025-01-31,24,265.36,78.3,7865.7,31
STN001,Pune,Slow,3,2025-02-01,29,323.4,61.5,11484.5,20
STN001,Pune,Slow,3,2025-02-02,24,226.44,70.4,7738.35,68
STN001,Pune,Slow,3,2025-02-03,19,209.12,73.0,7218.97,63
STN001,Pune,Slow,3,2025-02-04,16,186.12,67.0,5838.35,54
STN001,Pune,Slow,3,2025-02-05,15,153.91,70.0,5635.61,39
STN001,Pune,Slow,3,2025-02-06,16,179.9,78.6,5119.11,60
STN001,Pune,Slow,3,2025-02-07,17,162.36,71.0,6758.45,49
STN001,Pune,Slow,3,2025-02-08,27,279.8,71.6,9163.35,61
STN001,Pune,Slow,3,2025-02-09,19,176.78,63.2,6066.18,58
STN001,Pune,Slow,3,2025-02-10,21,248.94,70.1,6709.28,68
STN001,Pune,Slow,3,2025-02-11,18,196.9,61.5,5579.14,42
STN001,Pune,Slow,3,2025-02-12,23,265.22,78.5,7634.26,65
STN001,Pune,Slow,3,2025-02-13,18,166.59,67.1,6070.85,40
STN001,Pune,Slow,3,2025-02-14,24,268.46,66.4,8008.32,59
STN001,Pune,Slow,3,2025-02-15,27,310.92,62.7,10436.78,62
STN001,Pune,Slow,3,2025-02-16,18,206.9,67.2,6004.58,43
STN001,Pune,Slow,3,2025-02-17,21,230.74,60.7,8131.29,51
STN001,Pune,Slow,3,2025-02-18,23,255.63,61.6,7448.07,48
STN001,Pune,Slow,3,2025-02-19,26,237.4,77.5,9955.61,20
STN001,Pune,Slow,3,2025-02-20,22,255.07,72.6,6768.89,67
STN001,Pune,Slow,3,2025-02-21,15,163.14,67.6,4933.94,59
STN001,Pune,Slow,3,2025-02-22,18,198.47,64.3,5445.44,26
STN001,Pune,Slow,3,2025-02-23,22,231.98,62.5,6879.14,69
